name,current_price,market_cap,market_cap_rank,total_volume,circulating_supply,total_supply,max_supply,ath,atl,last_updated
Bitcoin,97471.0,1932146685370,1,29885211702.0,19824534.0,19824534.0,21000000.0,108786.0,67.81,2025-02-15T10:20:46.360Z
Ethereum,2697.67,325231253197,2,15385774180.0,120550261.6172951,120550261.6172951,,4878.26,0.432979,2025-02-15T10:20:48.163Z
XRP,2.79,161167162770,3,6359576808.0,57818864895.0,99986451428.0,100000000000.0,3.4,0.00268621,2025-02-15T10:20:47.289Z
Tether,1.0,142010751117,4,51217754758.0,141996505143.6433,141996505143.6433,,1.32,0.572521,2025-02-15T10:20:49.058Z
BNB,655.37,95613258896,5,1336197995.0,145887575.79,145887575.79,200000000.0,788.84,0.0398177,2025-02-15T10:20:45.164Z
Solana,194.23,94847056167,6,4138457654.0,488283491.7442554,594076615.7570097,,293.31,0.500801,2025-02-15T10:20:47.537Z
USDC,0.999927,56351775351,7,10609118953.0,56355229024.41399,56358060716.70489,,1.17,0.877647,2025-02-15T10:20:50.024Z
Dogecoin,0.278299,41193040774,8,2315799069.0,148031526383.7052,148054066383.7052,,0.731578,8.69e-05,2025-02-15T10:20:46.131Z
Cardano,0.794772,28544257031,9,677860071.0,35918136268.48197,45000000000.0,45000000000.0,3.09,0.01925275,2025-02-15T10:20:48.091Z
Lido Staked Ether,2696.16,25349214067,10,55924706.0,9403591.248558633,9403591.248558633,,4829.57,482.9,2025-02-15T10:20:46.902Z
TRON,0.232519,20020955045,11,580580948.0,86096268726.78783,86096280040.71068,,0.431288,0.00180434,2025-02-15T10:20:48.575Z
Wrapped Bitcoin,97318.0,12567313392,12,364099160.0,129138.42002211,129138.42002211,129138.42002211,108368.0,3139.17,2025-02-15T10:20:41.927Z
Chainlink,19.15,12220460851,13,532277234.0,638099970.4505637,1000000000.0,1000000000.0,52.7,0.148183,2025-02-15T10:20:48.129Z
Stellar,0.355207,10869815526,14,331811760.0,30613005169.25424,50001786894.45016,50001786894.45016,0.875563,0.00047612,2025-02-15T10:20:47.561Z
Avalanche,26.17,10779388944,16,324624277.0,411962964.8020386,450299190.9037711,720000000.0,144.96,2.8,2025-02-15T10:20:44.238Z
Wrapped stETH,3224.7,10777402167,15,13311384.0,3342538.144503993,3342538.144503993,,7256.02,558.54,2025-02-15T10:20:47.904Z
Sui,3.45,10669153113,17,980500315.0,3089707194.508888,10000000000.0,10000000000.0,5.35,0.364846,2025-02-15T10:20:48.396Z
Litecoin,132.13,9971587646,18,1310299240.0,75533195.73347135,75534095.73347135,84000000.0,410.26,1.15,2025-02-15T10:20:44.453Z
Hedera,0.234983,9813871733,19,309884779.0,41769622458.19852,50000000000.0,50000000000.0,0.569229,0.00986111,2025-02-15T10:20:48.196Z
Shiba Inu,1.663e-05,9797954777,20,261899737.0,589253883524225.6,589507245267451.8,,8.616e-05,5.6366e-11,2025-02-15T10:20:46.610Z
Toncoin,3.78,9417630787,21,143288039.0,2494315165.747942,5122356994.437815,,8.25,0.519364,2025-02-15T10:20:48.627Z
LEO Token,9.79,9043406737,22,429702.0,924125445.9,985239504.0,,9.95,0.799859,2025-02-15T10:20:41.481Z
Hyperliquid,26.26,8766842499,23,211962942.0,333928180.0,999990391.0,1000000000.0,34.96,3.81,2025-02-15T10:20:47.869Z
USDS,1.0,8690658184,24,18444151.0,8689647784.389757,8689647784.389757,,1.057,0.948265,2025-02-15T10:20:40.500Z
WETH,2698.73,8079333070,25,465471073.0,2992465.481082327,2992465.481082327,,4799.89,82.1,2025-02-15T10:20:48.168Z
Polkadot,5.05,7685668729,26,203067842.0,1522267060.0,1522267060.0,,54.98,2.7,2025-02-15T10:20:46.321Z
MANTRA,7.44,7233367476,27,888798669.0,972387516.8600001,1807966749.7,,7.9,0.01726188,2025-02-15T10:20:43.474Z
Bitcoin Cash,340.72,6756751559,28,147781834.0,19829593.64665078,19829671.77165078,21000000.0,3785.82,76.93,2025-02-15T10:20:45.148Z
Bitget Token,5.3,6361984545,29,235096117.0,1199999994.2,1199999994.2,2000000000.0,8.45,0.0142795,2025-02-15T10:20:44.445Z
Ethena USDe,0.999593,5984141727,30,68598529.0,5987331037.220327,5984564757.492328,,1.032,0.929486,2025-02-15T10:20:46.327Z
Uniswap,9.88,5932930349,31,208613967.0,600483073.71,1000000000.0,1000000000.0,44.92,1.03,2025-02-15T10:20:49.018Z
Wrapped eETH,2859.09,5446468835,32,18538078.0,1904507.194375559,1904507.194375559,,4311.81,2231.18,2025-02-15T10:20:41.402Z
Monero,234.85,4334520329,33,56278401.0,18446744.07370955,18446744.07370955,,542.33,0.216177,2025-02-15T10:20:42.831Z
Pepe,1.011e-05,4255673739,34,734795781.0,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,5.5142e-08,2025-02-15T10:20:45.029Z
Official Trump,20.84,4165892460,35,6183407525.0,199999994.343,1000000000.0,1000000000.0,73.43,4.29,2025-02-15T10:20:44.656Z
NEAR Protocol,3.48,4124798678,36,194776159.0,1184483002.0,1235446551.0,,20.44,0.526762,2025-02-15T10:20:43.296Z
Ondo,1.3,4098919892,37,268133370.0,3159107529.0,10000000000.0,10000000000.0,2.14,0.082171,2025-02-15T10:20:43.847Z
WhiteBIT Coin,27.09,3905063725,38,19113395.0,144118517.10815412,331450421.0,400000000.0,29.08,3.06,2025-02-15T10:20:41.613Z
Aave,256.58,3867078798,39,294571423.0,15072401.327989927,16000000.0,16000000.0,661.69,26.02,2025-02-15T10:20:43.868Z
Aptos,6.07,3566806718,40,178845916.0,586836044.6741968,1140164405.797194,,19.92,3.08,2025-02-15T10:20:43.129Z
Mantle,1.044,3501663615,41,102515566.0,3364694382.83684,6219316794.99,6219316794.99,1.54,0.307978,2025-02-15T10:20:42.350Z
Dai,0.999845,3495694206,42,207144890.0,3496231930.956824,3496231930.956824,,1.22,0.88196,2025-02-15T10:20:45.816Z
Internet Computer,7.17,3449529856,43,81772936.0,480944196.5549227,530092431.0575409,,700.65,2.87,2025-02-15T10:20:48.573Z
sUSDS,1.038,3293208722,44,373037.0,3173345173.279831,3173345173.279831,,1.088,0.961716,2025-02-15T10:20:49.087Z
Bittensor,381.85,3202603036,45,129149748.0,8372708.0,21000000.0,21000000.0,757.6,30.83,2025-02-15T10:20:44.175Z
Ethereum Classic,21.11,3184205523,46,98153591.0,150759408.947774,150759408.947774,210700000.0,167.09,0.615038,2025-02-15T10:20:46.979Z
OKB,51.67,3100239664,47,6118428.0,60000000.0,235957685.3,300000000.0,73.8,0.580608,2025-02-15T10:20:43.423Z
Gate,23.31,2932282336,48,12364580.0,125815473.19980882,300000000.0,,25.94,0.25754,2025-02-15T10:20:46.639Z
VeChain,0.03442638,2789424387,49,42155138.0,80985041177.0,85985041177.0,86712634466.0,0.280991,0.00191713,2025-02-15T10:20:40.948Z
POL (ex-MATIC),0.320201,2742830251,50,77941707.0,8562526261.207529,10361901110.26989,,1.29,0.269234,2025-02-15T10:20:45.722Z
Kaspa,0.105601,2714183464,51,76931038.0,25704151236.2201,25706154664.46329,28704026601.0,0.207411,0.00017105,2025-02-15T10:20:48.288Z
Tokenize Xchange,31.81,2542954228,52,22238098.0,79995999.05112354,100000000.0,100000000.0,50.43,0.111255,2025-02-15T10:20:47.924Z
Coinbase Wrapped BTC,97480.0,2507622402,53,293461348.0,25724.6891882,25724.6891882,,108953.0,57439.0,2025-02-15T10:20:44.936Z
Algorand,0.294522,2484288283,54,101848968.0,8434057717.191877,8440301717.609369,10000000000.0,3.56,0.087513,2025-02-15T10:20:44.401Z
Cronos,0.090389,2468119192,55,18893910.0,27305885804.52475,30000000000.0,,0.965407,0.0121196,2025-02-15T10:20:45.200Z
Jupiter,0.930227,2456162573,56,397926112.0,2637438888.89,6999978777.458727,10000000000.0,2.0,0.457464,2025-02-15T10:20:48.728Z
Render,4.62,2394012233,57,105609695.0,517716590.0562826,532476763.3362826,,13.53,0.03665669,2025-02-15T10:20:45.624Z
Filecoin,3.49,2206119973,58,132164073.0,632198790.0,1959648680.0,1959648680.0,236.84,2.64,2025-02-15T10:20:46.747Z
Cosmos Hub,4.92,2147905471,59,165664364.0,436245077.133572,436283940.694291,,44.45,1.16,2025-02-15T10:20:48.941Z
Arbitrum,0.485392,2110003629,60,154813593.0,4343862574.0,10000000000.0,10000000000.0,2.39,0.38247,2025-02-15T10:20:43.504Z
First Digital USD,0.998689,2088508627,61,4734603137.0,2091015488.485692,2091015488.485692,,1.15,0.940377,2025-02-15T10:20:47.023Z
Artificial Superintelligence Alliance,0.774114,2016430750,62,140593461.0,2604959126.672,2714493896.672,2714493896.672,3.45,0.00816959,2025-02-15T10:20:47.134Z
Lombard Staked BTC,96826.0,1931527459,63,1498534.0,19948.67528227,19948.67528227,,114576.0,52119.0,2025-02-15T10:20:48.673Z
Sonic (prev. FTM),0.537203,1707359412,64,100420683.0,3175000000.0,3175000000.0,,1.029,0.359647,2025-02-15T10:20:47.967Z
Fasttoken,3.94,1688854615,65,49588150.0,429147094.6,870742437.0,1000000000.0,4.0,0.398142,2025-02-15T10:20:46.666Z
Celestia,3.13,1653351925,66,69940850.0,527575387.807742,1102795397.259945,,20.85,2.08,2025-02-15T10:20:44.892Z
Lido DAO,1.83,1645149502,67,219906004.0,896827818.47191,1000000000.0,1000000000.0,7.3,0.40615,2025-02-15T10:20:41.586Z
Binance-Peg WETH,2700.45,1631572227,68,49257650.0,604999.999959841,604999.999959841,,4098.26,2171.8,2025-02-15T10:20:48.139Z
XDC Network,0.101522,1593510434,69,33226318.0,15688786880.4,37972314290.7,,0.192754,0.00039532,2025-02-15T10:20:41.720Z
Raydium,5.45,1585386774,70,182243388.0,290866823.959339,555000000.0,555000000.0,16.83,0.134391,2025-02-15T10:20:45.796Z
Binance Staked SOL,201.49,1566807782,71,6572617.0,7774640.214729929,7774640.214729929,,297.96,127.32,2025-02-15T10:20:43.570Z
